Circle; Area :1398.008730847458; Perimeter: 132.543939257663
Circle; Area :427.2566008882119; Perimeter: 73.27390254512592
Circle; Area :1118.4069846779662; Perimeter: 118.55090327429498
Circle; Area :1288.0529879718151; Perimeter: 127.22480582726998
Circle; Area :785.3981633974482; Perimeter: 99.345882657961
Circle; Area :81.68140899333461; Perimeter: 32.03808448882818
Circle; Area :125.66370614359175; Perimeter: 39.738353063184405
Circle; Area :380.132711084365; Perimeter: 69.11503837897544
Circle; Area :182.21237390820804; Perimeter: 47.85131368157755
Circle; Area :983.3185005736051; Perimeter: 111.16089559806485
Circle; Area :229.33626371205486; Perimeter: 53.68355879706646
Circle; Area :832.5220532012952; Perimeter: 102.28284638762611
Circle; Area :819.9556825869358; Perimeter: 101.5079651787843
Circle; Area :166.50441064025904; Perimeter: 45.74227949098015
Circle; Area :12.566370614359172; Perimeter: 12.566370614359172
Circle; Area :229.33626371205486; Perimeter: 53.68355879706646
Circle; Area :354.99996985564667; Perimeter: 66.79117598375096
Circle; Area :116.23892818282232; Perimeter: 38.2191241574323
Circle; Area :91.10618695410399; Perimeter: 33.8359883929281
Circle; Area :427.2566008882119; Perimeter: 73.27390254512592
Circle; Area :559.2034923389832; Perimeter: 83.82814762104447
Circle; Area :213.62830044410595; Perimeter: 51.81247337366076
Circle; Area :581.1946409141118; Perimeter: 85.46055965652299
Circle; Area :870.2211650443727; Perimeter: 104.5730446932048
Circle; Area :882.787535658732; Perimeter: 105.32537845564306
Triangle; Sides: 41.182520563948 30.479501308256342 16.278820596099706 ; Area: 214.0; Perimeter: 87.94084246830406
Triangle; Sides: 11.045361017187261 40.01249804748511 51.03920062069938 ; Area: 14.5; Perimeter: 102.09705968537176
Triangle; Sides: 32.89376840679705 42.05948168962618 49.24428900898052 ; Area: 683.5; Perimeter: 124.19753910540376
Triangle; Sides: 43.289721643826724 14.560219778561036 29.017236257093817 ; Area: 51.0; Perimeter: 86.86717767948157
Triangle; Sides: 50.99019513592785 40.792156108742276 20.591260281974 ; Area: 400.0; Perimeter: 112.37361152664413
Triangle; Sides: 9.219544457292887 64.38167441127949 55.17245689653489 ; Area: 13.0; Perimeter: 128.77367576510727
Triangle; Sides: 18.35755975068582 24.08318915758459 10.63014581273465 ; Area: 92.0; Perimeter: 53.07089472100506
Triangle; Sides: 8.48528137423857 44.77722635447622 48.507731342539614 ; Area: 177.0; Perimeter: 101.7702390712544
Triangle; Sides: 53.75872022286245 14.142135623730951 47.01063709417264 ; Area: 310.0; Perimeter: 114.91149294076604
Triangle; Sides: 32.202484376209235 15.033296378372908 28.0178514522438 ; Area: 210.5; Perimeter: 75.25363220682594
Triangle; Sides: 25.495097567963924 42.20189569201838 53.225933528685054 ; Area: 528.5; Perimeter: 120.92292678866735
Triangle; Sides: 7.615773105863909 6.082762530298219 13.152946437965905 ; Area: 12.5; Perimeter: 26.851482074128032
Triangle; Sides: 30.59411708155671 35.4400902933387 44.721359549995796 ; Area: 540.0; Perimeter: 110.7555669248912
Triangle; Sides: 50.15974481593781 34.0 23.323807579381203 ; Area: 340.0; Perimeter: 107.48355239531901
Triangle; Sides: 36.76955262170047 26.40075756488817 25.079872407968907 ; Area: 331.0; Perimeter: 88.25018259455754
Triangle; Sides: 8.54400374531753 22.80350850198276 28.653097563788805 ; Area: 79.0; Perimeter: 60.00060981108909
Triangle; Sides: 26.1725046566048 25.495097567963924 23.769728648009426 ; Area: 272.5; Perimeter: 75.43733087257814
Triangle; Sides: 47.634021455258214 33.015148038438355 29.274562336608895 ; Area: 476.5; Perimeter: 109.92373183030547
Triangle; Sides: 39.59797974644666 19.313207915827967 57.8013840664737 ; Area: 154.0; Perimeter: 116.71257172874833
Triangle; Sides: 11.045361017187261 8.06225774829855 5.0 ; Area: 18.5; Perimeter: 24.10761876548581
Triangle; Sides: 20.024984394500787 32.7566787083184 13.416407864998739 ; Area: 54.0; Perimeter: 66.19807096781793
Triangle; Sides: 52.172789842982326 17.204650534085253 48.02082881417188 ; Area: 412.0; Perimeter: 117.39826919123946
Triangle; Sides: 35.22782990761707 19.924858845171276 27.85677655436824 ; Area: 277.0; Perimeter: 83.00946530715659
Triangle; Sides: 34.20526275297414 45.89117562233506 12.0 ; Area: 54.0; Perimeter: 92.0964383753092
Triangle; Sides: 1.4142135623730951 24.08318915758459 25.019992006393608 ; Area: 13.0; Perimeter: 50.5173947263513
Rectangle; Sides: 2.23606797749979 5.0 2.23606797749979 5.0; Area: 11.180339887498949; Perimeter: 14.47213595499958
Rectangle; Sides: 10.04987562112089 151.08275877809487 10.04987562112089 151.08275877809487; Area: 1518.3629342156637; Perimeter: 322.2652687984315
Rectangle; Sides: 6.324555320336759 41.593268686170845 6.324555320336759 41.593268686170845; Area: 263.0589287593181; Perimeter: 95.8356480130152
Rectangle; Sides: 32.55764119219941 36.40054944640259 32.55764119219941 36.40054944640259; Area: 1185.1160280748886; Perimeter: 137.916381277204
Rectangle; Sides: 1.4142135623730951 41.036569057366385 1.4142135623730951 41.036569057366385; Area: 58.03447251418764; Perimeter: 84.90156523947896
Rectangle; Sides: 18.384776310850235 41.10960958218893 18.384776310850235 41.10960958218893; Area: 755.7909763949289; Perimeter: 118.98877178607833
Rectangle; Sides: 30.066592756745816 377.0331550407736 30.066592756745816 377.0331550407736; Area: 11336.102328401945; Perimeter: 814.1994955950388
Rectangle; Sides: 24.186773244895647 38.71772849742092 24.186773244895647 38.71772849742092; Area: 936.4569197245542; Perimeter: 125.80900348463314
Rectangle; Sides: 20.615528128088304 117.27318534089538 20.615528128088304 117.27318534089538; Area: 2417.648651065742; Perimeter: 275.7774269379674
Rectangle; Sides: 46.010868281309364 1151.1915566055893 46.010868281309364 1151.1915566055893; Area: 52967.323077535264; Perimeter: 2394.404849773797
Rectangle; Sides: 48.877397639399746 62.59360989749673 48.877397639399746 62.59360989749673; Area: 3059.412760645415; Perimeter: 222.94201507379296
Rectangle; Sides: 2.23606797749979 26.92582403567252 2.23606797749979 26.92582403567252; Area: 60.20797289396148; Perimeter: 58.32378402634462
Rectangle; Sides: 25.179356624028344 79.62411694957753 25.179356624028344 79.62411694957753; Area: 2004.8840365467524; Perimeter: 209.6069471472117
Rectangle; Sides: 13.038404810405298 13.038404810405298 13.038404810405298 13.038404810405298; Area: 170.00000000000003; Perimeter: 52.15361924162119
Rectangle; Sides: 7.0710678118654755 37.44329045369811 7.0710678118654755 37.44329045369811; Area: 264.76404589747455; Perimeter: 89.02871653112717
